name	virus	subtype	bootstrap support
OR210717.1	HCV	3a	100.0
OR210718.1	HCV	3a	100.0
OR210714.1	HCV	3a	100.0
OR210762.1	HCV	1b	100.0
OR210764.1	HCV	3b	100.0
OR210715.1	HCV	3a	100.0
OR210704.1	HCV	6n	100.0
OR210726.1	HCV	3a	100.0
OR210705.1	HCV	3b	100.0
OR210702.1	HCV	1b	100.0
OR210701.1	HCV	1b	100.0
OR210688.1	HCV	3b	100.0
OR210686.1	HCV	3b	100.0
OR210706.1	HCV	3a	100.0
OR210733.1	HCV	3a	100.0
OR210703.1	HCV	1b	100.0
OR210687.1	HCV	3b	100.0
OR210683.1	HCV	3b	100.0
OR210684.1	HCV	3b	100.0
OR210716.1	HCV	3a	100.0
OR210904.1	HCV	1b	100.0
OR210888.1	HCV	6n	100.0
OR210619.1	HCV	3b	100.0
OR210636.1	HCV	3b	100.0
OR210618.1	HCV	1b	100.0
OR210617.1	HCV	3b	100.0
OR210542.1	HCV	3a	100.0
OR210558.1	HCV	1b	100.0
OR210539.1	HCV	3b	100.0
OR210538.1	HCV	1b	100.0
OR210508.1	HCV	3a	100.0
OR210533.1	HCV	3a	100.0
OR210504.1	HCV	6n	100.0
OR210503.1	HCV	3b	100.0
OR210514.1	HCV	3b	100.0
OR210500.1	HCV	3b	100.0
OR210499.1	HCV	3a	100.0
OR210497.1	HCV	1b	100.0
OR210498.1	HCV	3b	100.0
OR210713.1	HCV	3a	100.0
OR210727.1	HCV	3a	100.0
OR210685.1	HCV	6n	100.0
OR210915.1	HCV	3b	100.0
OR210911.1	HCV	3a	100.0
OR210912.1	HCV	1b	100.0
OR210606.1	HCV	1b	100.0
OR210596.1	HCV	2a	100.0
OR210588.1	HCV	6n	100.0
OR210583.1	HCV	3b	100.0
OR210581.1	HCV	6a	100.0
OR210576.1	HCV	3b	100.0
OR210430.1	HCV	3b	100.0
OR210429.1	HCV	3b	100.0
OR210928.1	HCV	3b	100.0
OR210916.1	HCV	2a	100.0
OR210914.1	HCV	1b	100.0
OR210923.1	HCV	2a	100.0
OR210925.1	HCV	2a	100.0
OR210926.1	HCV	3b	100.0
OR210927.1	HCV	1a	100.0
OR210910.1	HCV	3b	100.0
OR210909.1	HCV	1b	100.0
OR210906.1	HCV	3a	100.0
OR210908.1	HCV	3b	100.0
OR210913.1	HCV	3a	100.0
OR210907.1	HCV	3b	100.0
OR210899.1	HCV	2a	100.0
OR210924.1	HCV	3b	100.0
OR210902.1	HCV	3a	100.0
OR210894.1	HCV	2a	100.0
OR210898.1	HCV	1b	100.0
OR210893.1	HCV	3b	100.0
OR210889.1	HCV	3b	100.0
OR210905.1	HCV	3b	100.0
OR210896.1	HCV	3a	100.0
OR210895.1	HCV	3b	100.0
OR210929.1	HCV	3b	100.0
OR210861.1	HCV	3a	100.0
